R.Time (min),Intensity,MW_PEG,normalized RI
10.4,-2,9786526.85415634,0.0021384136858475893
10.40833,-2,9260498.974994294,0.0021384136858475893
10.41667,-2,8765914.920334,0.0021384136858475893
10.425,-4,8301814.336969941,0.001749611197511664
10.43333,-4,7865596.619860135,0.001749611197511664
10.44167,-3,7454938.813401461,0.0019440124416796269
10.45,-3,7069110.844887628,0.0019440124416796269
10.45833,-4,6706014.083002325,0.001749611197511664
10.46667,-3,6363772.1880969405,0.0019440124416796269
10.475,-4,6041830.619057916,0.001749611197511664
10.48333,-4,5738489.055689763,0.001749611197511664
10.49167,-4,5452225.871574143,0.001749611197511664
10.5,-4,5182620.542030852,0.001749611197511664
10.50833,-5,4928290.050198249,0.0015552099533437014
10.51667,-5,4687995.598068554,0.0015552099533437014
10.525,-5,4461419.11724264,0.0015552099533437014
10.53333,-5,4247431.341438853,0.0015552099533437014
10.54167,-5,4045019.854453488,0.0015552099533437014
10.55,-5,3853944.9946964253,0.0015552099533437014
10.55833,-5,3673281.1954433704,0.0015552099533437014
10.56667,-5,3502197.9282556963,0.0015552099533437014
10.575,-5,3340515.571802823,0.0015552099533437014
10.58333,-5,3187472.691885318,0.0015552099533437014
10.59167,-4,3042385.4430772373,0.001749611197511664
10.6,-4,2905120.189694855,0.001749611197511664
10.60833,-3,2775048.234484232,0.0019440124416796269
10.61667,-3,2651604.4570113434,0.0019440124416796269
10.625,-2,2534690.4327919325,0.0021384136858475893
10.63333,-2,2423785.1987372953,0.0021384136858475893
10.64167,-1,2318420.075596833,0.0023328149300155523
10.65,-2,2218523.577167236,0.0021384136858475893
10.65833,-1,2123662.4912742083,0.0023328149300155523
10.66667,-2,2033446.7550999601,0.0021384136858475893
10.675,-1,1947825.460083294,0.0023328149300155523
10.68333,-2,1866437.1171045708,0.0021384136858475893
10.69167,-3,1788955.9717360337,0.0019440124416796269
10.7,-3,1715346.797394542,0.0019440124416796269
10.70833,-4,1645306.9280931528,0.001749611197511664
10.71667,-4,1578563.3929856934,0.001749611197511664
10.725,-3,1515092.8763887214,0.0019440124416796269
10.73333,-3,1454641.1176923276,0.0019440124416796269
10.74167,-2,1396978.615098485,0.0021384136858475893
10.75,-3,1342091.0578225676,0.0019440124416796269
10.75833,-3,1289764.1491806048,0.0019440124416796269
10.76667,-3,1239804.3032609927,0.0019440124416796269
10.775,-4,1192203.9745781105,0.001749611197511664
10.78333,-4,1146781.9678929981,0.001749611197511664
10.79167,-2,1103374.4681889047,0.0021384136858475893
10.8,-2,1061978.9699602663,0.0021384136858475893
10.80833,-2,1022441.7824953941,0.0021384136858475893
10.81667,-1,984623.8462912182,0.0023328149300155523
10.825,-2,948526.3678048954,0.0021384136858475893
10.83333,-2,914018.5816614591,0.0021384136858475893
10.84167,-2,880982.0774628369,0.0021384136858475893
10.85,-3,849420.7529844812,0.0019440124416796269
10.85833,-2,819223.0099438897,0.0021384136858475893
10.86667,-2,790287.7144565684,0.0021384136858475893
10.875,-2,762620.6729132233,0.0021384136858475893
10.88333,-2,736126.3602117584,0.0021384136858475893
10.89167,-1,710718.1406325701,0.0023328149300155523
10.9,-1,686403.1307721656,0.0023328149300155523
10.90833,-1,663099.324060375,0.0023328149300155523
10.91667,-1,640732.2872422757,0.0023328149300155523
10.925,-1,619309.991543467,0.0023328149300155523
10.93333,0,598761.8332832125,0.002527216174183515
10.94167,0,579023.6792263846,0.002527216174183515
10.95,1,560104.0102855259,0.0027216174183514776
10.95833,0,541941.8685428918,0.002527216174183515
10.96667,0,524481.8396162173,0.002527216174183515
10.975,0,507732.6548872995,0.002527216174183515
10.98333,0,491641.53863796935,0.002527216174183515
10.99167,-1,476160.477513073,0.0023328149300155523
11.0,-1,461298.2604317582,0.0023328149300155523
11.00833,-1,447009.0714399256,0.0023328149300155523
11.01667,-1,433251.1967690159,0.0023328149300155523
11.025,0,420033.34117999056,0.002527216174183515
11.03333,0,407315.6246353076,0.002527216174183515
11.04167,0,395061.70984734746,0.002527216174183515
11.05,1,383280.11522630166,0.0027216174183514776
11.05833,1,371936.03680608835,0.0027216174183514776
11.06667,1,360997.73805915186,0.0027216174183514776
11.075,0,350473.4792132462,0.002527216174183515
11.08333,0,340332.8083563723,0.002527216174183515
11.09167,1,330547.9361131914,0.0027216174183514776
11.1,1,321126.8159659939,0.0027216174183514776
11.10833,2,312042.73680474056,0.00291601866251944
11.11667,2,303271.3042777861,0.00291601866251944
11.125,2,294820.1342656973,0.00291601866251944
11.13333,1,286665.7391099378,0.0027216174183514776
11.14167,2,278786.65186605626,0.00291601866251944
11.15,2,271190.1333838761,0.00291601866251944
11.15833,2,263855.4804661015,0.00291601866251944
11.16667,3,256763.75655287676,0.003110419906687403
11.175,2,249921.86010000503,0.00291601866251944
11.18333,2,243311.49895716825,0.00291601866251944
11.19167,2,236915.92903133444,0.00291601866251944
11.2,2,230741.68649025503,0.00291601866251944
11.20833,1,224772.57182793296,0.0027216174183514776
11.21667,1,218993.74510940188,0.0027216174183514776
11.225,1,213411.38577930274,0.0027216174183514776
